Image_IDs,Visible_Percent,Ground_Control,Satellite_Azimuth,Date,Time_UTC
20210329_184512_02_2403,100,TRUE,100.5,3/29/2021,45:12.0
20210329_184514_28_2403,100,TRUE,100.6,3/29/2021,45:14.3
20210330_182005_1025,100,TRUE,100.7,3/30/2021,20:05.5
20210330_182006_1025,100,TRUE,100.7,3/30/2021,20:06.5
20210330_182605_0f4e,100,TRUE,275.2,3/30/2021,26:05.4
20210330_182606_0f4e,100,TRUE,275.3,3/30/2021,26:06.4
20210330_184447_69_2408,100,TRUE,100.6,3/30/2021,44:47.7
20210330_184449_97_2408,100,TRUE,100.7,3/30/2021,44:50.0
20210331_175502_28_2423,100,TRUE,103.3,3/31/2021,55:02.3
20210331_175504_63_2423,100,TRUE,103.3,3/31/2021,55:04.6
20210331_175927_25_2463,99,TRUE,277.5,3/31/2021,59:27.3
20210331_175929_60_2463,100,TRUE,277.5,3/31/2021,59:29.6
20210401_153711_104e,99,TRUE,83.6,4/1/2021,37:11.8
20210401_153712_104e,100,TRUE,83.6,4/1/2021,37:12.7
20210401_175436_19_2450,100,TRUE,100.5,4/1/2021,54:36.2
20210401_175438_53_2450,100,TRUE,100.3,4/1/2021,54:38.5
20210401_175500_19_2456,100,TRUE,101.4,4/1/2021,55:00.2
20210401_175640_27_2464,100,TRUE,107.6,4/1/2021,56:40.3
20210401_175642_62_2464,100,TRUE,107.4,4/1/2021,56:42.6
20210402_182248_1009,100,TRUE,269.1,4/2/2021,22:48.4
20210402_182249_1009,100,TRUE,269.1,4/2/2021,22:49.5
20210405_184516_11_2403,99,TRUE,100.7,4/5/2021,45:16.1
20210405_184518_37_2403,100,TRUE,100.7,4/5/2021,45:18.4
20210407_180211_25_225a,69,TRUE,101.3,4/7/2021,02:11.3
20210408_181610_38_106e,100,TRUE,253.8,4/8/2021,16:10.4
20210408_184550_31_2407,100,TRUE,102.1,4/8/2021,45:50.3
20210408_184552_58_2407,100,TRUE,102.1,4/8/2021,45:52.6
20210409_175436_45_245e,100,TRUE,100.7,4/9/2021,54:36.5
20210409_175438_79_245e,100,TRUE,100.6,4/9/2021,54:38.8
20210409_175821_96_2434,100,TRUE,277.6,4/9/2021,58:22.0
20210409_175824_31_2434,100,TRUE,277.3,4/9/2021,58:24.3
20210409_182241_1032,100,TRUE,184.6,4/9/2021,22:41.1
20210409_182242_1032,100,TRUE,184.6,4/9/2021,22:42.2
20210410_175504_30_2453,100,TRUE,100.3,4/10/2021,55:04.3
20210410_182300_1001,98,TRUE,175.6,4/10/2021,23:00.3
20210410_182301_1001,100,TRUE,175.6,4/10/2021,23:01.4
20210413_180602_10_2264,81,TRUE,277.3,4/13/2021,06:02.1
20210414_175734_56_2458,100,TRUE,274.3,4/14/2021,57:34.6
20210414_175736_88_2458,85,TRUE,274.1,4/14/2021,57:36.9
20210414_180457_18_2259,100,TRUE,103.7,4/14/2021,04:57.2
20210414_180459_47_2259,98,TRUE,103.5,4/14/2021,04:59.5
20210415_175408_70_2430,100,TRUE,100.7,4/15/2021,54:08.7
20210415_175411_18_2430,100,TRUE,100.6,4/15/2021,54:11.2
20210417_175928_71_2235,100,TRUE,277.4,4/17/2021,59:28.7
20210417_175930_92_2235,100,TRUE,277.4,4/17/2021,59:30.9
20210417_184808_39_2254,100,TRUE,277.6,4/17/2021,48:08.4
20210417_184810_74_2254,100,TRUE,277.6,4/17/2021,48:10.7
20210417_184826_17_2412,100,TRUE,277.6,4/17/2021,48:26.2
20210417_184828_52_2412,100,TRUE,277.5,4/17/2021,48:28.5
20210418_182431_1039,100,TRUE,277.1,4/18/2021,24:32.0
20210418_182433_1039,100,TRUE,277,4/18/2021,24:33.0
20210419_153614_0f44,86,TRUE,257.2,4/19/2021,36:14.6
20210419_153615_0f44,100,TRUE,257.2,4/19/2021,36:15.5
20210419_175724_06_242a,100,TRUE,177.6,4/19/2021,57:24.1
20210419_175726_41_242a,98,TRUE,177.1,4/19/2021,57:26.4
20210419_180403_61_2259,100,TRUE,101.4,4/19/2021,04:03.6
20210419_180405_89_2259,100,TRUE,101.3,4/19/2021,04:05.9
20210419_180716_96_227e,100,TRUE,276.9,4/19/2021,07:17.0
20210419_180719_25_227e,100,TRUE,276.9,4/19/2021,07:19.3
20210420_175340_66_2206,100,TRUE,100.7,4/20/2021,53:40.7
20210420_175554_14_2465,98,TRUE,100.5,4/20/2021,55:54.1
20210421_175501_72_2431,78,TRUE,101.4,4/21/2021,55:01.7
20210422_153321_104b,61,TRUE,83.7,4/22/2021,33:21.5
20210422_153322_104b,61,FALSE,83.6,4/22/2021,33:22.4
20210422_175604_19_245f,64,TRUE,188.5,4/22/2021,56:04.2
20210426_153236_0f46,98,TRUE,85.1,4/26/2021,32:36.7
20210426_181402_07_1063,51,TRUE,85.7,4/26/2021,14:02.1
20210427_184545_09_2412,95,TRUE,100.7,4/27/2021,45:45.1
20210428_175334_48_2451,100,TRUE,100.1,4/28/2021,53:34.5
20210428_175847_23_2450,100,TRUE,277.7,4/28/2021,58:47.2
20210428_175849_77_2450,100,TRUE,277.8,4/28/2021,58:49.8
20210429_182334_100c,100,TRUE,277.3,4/29/2021,23:34.5
20210429_182335_100c,100,TRUE,277.1,4/29/2021,23:35.6
20210429_183236_63_105c,100,TRUE,273.7,4/29/2021,32:36.6
20210429_183239_10_105c,100,TRUE,274,4/29/2021,32:39.1
